TOKEN_INDEX,SENT_NUM,WORD_NUM,TOKEN,POS,TAG,DEP,HEAD_TEXT,HEAD_INDEX,DEP_PAIRS_INPUT,DEP_PAIRS,Agreement,Apology,Third_Person,Contrast_Conjunction,Ask_Agency,By_The_Way,Can_You,Could_You,Disagreement,Filler_Pause,First_Person_Plural,First_Person_Single,For_Me,For_You,Formal_Title,Give_Agency,Goodbye,Gratitude,Hedges,Hello,Impersonal_Pronoun,Informal_Title,Let_Me_Know,Negation,Negative_Emotion,Please,Positive_Emotion,Reasoning,Reassurance,Second_Person,Swearing,Truth_Intensifier,Acknowledgement,Subjectivity,Affirmation,Conjunction_Start,Bare_Command,WH_Questions,YesNo_Questions,Adverb_Limiters
0,1,1,hello,INTJ,UH,ROOT,hello,0,"['ROOT', 'hello', 0, 'hello', 0]","['ROOT', 'hello', 'hello']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,!,PUNCT,.,punct,hello,0,"['punct', 'hello', 0, '!', 1]","['punct', 'hello', '!']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,i,PRON,PRP,nsubj,understand,3,"['nsubj', 'understand', 3, 'i', 2]","['nsubj', 'understand', 'i']",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2,2,understand,VERB,VBP,ROOT,understand,3,"['ROOT', 'understand', 3, 'understand', 3]","['ROOT', 'understand', 'understand']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,your,PRON,PRP$,poss,perspective,5,"['poss', 'perspective', 5, 'your', 4]","['poss', 'perspective', 'your']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2,4,perspective,NOUN,NN,dobj,understand,3,"['dobj', 'understand', 3, 'perspective', 5]","['dobj', 'understand', 'perspective']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,1,but,CCONJ,CC,cc,agree,10,"['cc', 'agree', 10, 'but', 6]","['cc', 'agree', 'but']",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,3,2,i,PRON,PRP,nsubj,agree,10,"['nsubj', 'agree', 10, 'i', 7]","['nsubj', 'agree', 'i']",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,3,do,AUX,VBP,aux,agree,10,"['aux', 'agree', 10, 'do', 8]","['aux', 'agree', 'do']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,4,not,PART,RB,neg,agree,10,"['neg', 'agree', 10, 'not', 9]","['neg', 'agree', 'not']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
